Booking ID,Client Name (English),Client Name (Arabic),Destination,Package Type,Departure Date,Return Date,Total Cost (SAR),Payment Status,Agent Name,Booking Channel,Client Rating (1-5 stars),Special Requests
SA32817P,السيدة روبا شربتلي,إلينا العقيل,"Riyadh, Saudi Arabia",Luxury,15/11/2025,27/11/2025,"5,371.00",Pending,Ahmed Khan,Referral,,
SA99495I,جوان الحجار,المهندس شامل المغاولة,"Dubai, UAE",Family,24/09/2025,09/10/2025,"5,467.00",Pending,Fatima Al-Jameel,Walk-in,,Sea view room
SA57967F,سديم آل سعود,تمام آل عايض,"Abha, Saudi Arabia",Adventure,06/12/2025,19/12/2025,619.02,Cancelled,Khalid Al-Ghamdi,WhatsApp,,Wheelchair access
SA34959Y,فرج بن لادن,ليث آل رفيع,"Medina, Saudi Arabia",Budget,26/10/2025,02/11/2025,"1,377.00",Pending,Noura Al-Mutairi,Website,,
SA63379X,الآنسة بنان الجابر,الأستاذ سلمان بقشان,"Dammam, Saudi Arabia",Adventure,31/08/2025,12/09/2025,416.52,Cancelled,Khalid Al-Ghamdi,Website,,Private tour guide
SA58345A,الدكتور هايل المهنا,طيّع آل خضير,"Riyadh, Saudi Arabia",Adventure,17/10/2025,20/10/2025,743.83,Cancelled,Ahmed Khan,Referral,,Private tour guide
SA78694C,فيصل آل سلطان,ليان الشايع,"Istanbul, Turkey",Luxury,22/01/2026,31/01/2026,"7,459.00",Paid,Noura Al-Mutairi,Website,3,Private tour guide
SA27169U,الأستاذ رائف حنبولي,المهندس طبّاع آل سعود,"Dammam, Saudi Arabia",Family,21/10/2025,05/11/2025,"3,839.00",Paid,Fatima Al-Jameel,WhatsApp,5,Private tour guide
SA40620Q,الآنسة ليساء الحجار,ممدوح آل سلطان,"Kuala Lumpur, Malaysia",Budget,02/09/2025,15/09/2025,"1,824.00",Pending,Mohammed Al-Zahrani,Website,,Private tour guide
SA50659H,جوريّة آل العسكري,دانية آل سلطان,"Kuala Lumpur, Malaysia",Family,25/10/2025,05/11/2025,"5,554.00",Paid,Mohammed Al-Zahrani,Walk-in,2,Wheelchair access
SA85598T,راما فصيل,الدكتور حمدان آل رفيع,"Cairo, Egypt",Business,27/08/2025,07/09/2025,"6,443.00",Paid,Mohammed Al-Zahrani,WhatsApp,1,Sea view room
